Наименование,Дата изготовления,Срок годности до ,14.01.19,Информация,Спрятано?,_,_
"Колбаса ""Фирменная"" Докторская по-старод амиф вар 0,5кг (Старод колб)",23.09.18,17.11.18,,,1,,
"Колбаса ""Фирменная"" Молочная по-старод амиф вар (Стар колб)",22.10.18,16.12.18,,,1,,
"Колбаса ""Фирменная"" Молочная по-стародворски амиф вар 0,5кг (Старод колб)",24.09.18,18.11.18,,,1,,
"Колбаса вареная Стародворская 0,5кг",23.09.18,17.11.18,,,1,,
"Колбаса ""Фирменная"" Русская по-старод п/ам 0,5кг, МП  (Старод колб)",23.09.18,17.11.18,,,1,,
"Колбаса в/к ""Сервелат Кремлевский"" 0,35 (Колбасное изделие варено-копченое, мясной продукт (Стародво",26.10.18,30.11.18,,,1,,
"Колбаса вареная ""Докторская по-стародворски"" ц/о натурин (Колбасное изделие вареное из мяса птицы (С",29.11.18,19.12.18,,,1,,
Колбаса вареная Молочная стародворская,25.11.18,19.01.19,,,,,
Колбаса вареная Русская стародворская,27.11.18,21.01.19,,,,,
Колбаса варенная Докторская стародворская,25.11.18,19.12.18,,,,,
"Колбаса вареная ""Докторская Стародворская"" 0,5 кг (Колбасное изделие вареное из мяса птицы (Стародво",22.09.18,16.11.18,,,1,,
"Колбаса вареная ""Классическая вязанка высш сорт"" 0,5 колбасное  изделие вареное, мясной продукт (Ста",02.12.18,16.01.19,,,,,
"Колбаса вареная ""Классическая вязанка высший сорт""(Колбасное изделие вареное, мясной продукт(Стародв",05.12.18,15.01.19,,,,,
"Колбаса вареная ""Молочная стародворская"" 0,5кг (колбасное изделие вареное, мясной продукт) (Стародво",27.09.18,15.11.18,,,1,,
Колбаса Молочная Особая,07.11.18,06.01.19,,,,,
"Колбаса вареная ""Особая"" 2сорт (Колбасное изделие вареное из мяса птицы (Стародворские колбасы)",05.12.18,16.01.19,,,,,
"Колбаса вареная""Докторская по-стародворски "" п/а (Колбасное изделие вареное из мяса птицы) (Стародво",02.12.18,26.01.19,,,,,
Колбаса Вязанка со Шпиком вар в.с,27.11.18,11.01.19,,,,,
Колбаса Вязанка со Шпиком 500гр вар в/с (Стародворск колб),02.12.18,16.01.19,,,,,
Колбаса Нежная вар. Амиф,29.10.18,18.12.18,,,1,,
Колбаса Муромская вар амиф (ТМ Славница),10.12.18,25.01.19,,,,,
"Сардельки ""Вязанка Стародворские"" (Колбасное изделие вареное, мясной продукт (Стародворские колбасы)",29.11.18,24.12.18,,,,,
"Сардельки ""Нежные"" н/о МГС колб. изделия (Стародворские колбасы)",09.11.18,09.12.18,,,1,,
"Сосики ""Вязанка"" Сливочные виск.МГС, МП, б/с (Стар. кол)",05.12.18,30.12.18,,,,,
"Сосиски ""Вязанка"" Молочные""  (Колбасное изделие вареное, мясной продукт (Стародворские колбасы)",13.11.18,08.12.18,,,1,,
Сосиски Венские н\о мгс ,30.10.18,19.11.18,,,1,,
"Сосиски ""Рубленые стародворские вязанка"" (Колбасное изделие вареное, мясной продукт(Стародворские ко",10.12.18,04.01.19,,,,,
Сосиски Сочные мгс амицел,30.10.18,30.11.18,,,1,,
Сосиски Баварские бордо вес МГС,30.10.18,30.11.18,,,1,,
Сосиски Сливочные по-стародворски,26.11.18,21.12.18,,,1,,
"Сосиски""Молочные Оригинальные"" 2 сорт (колбасное изделие  вареное из мяса птицы (ТМ Славница)",11.12.18,10.01.19,,,,,
СЕРВОЛЮКС,,,,,,,
"Ветчина вареная рубленая из мяса птицы ""Кельнская"" охлажденная 0,47 кг ()",27.09.18,27.11.18,,нет,1,,
Колбаса вареная Сливочная высшего сорта,05.11.18,05.01.19,,,,,
"Изделие колбасное варено-копченое из мяса птицы. Колбаса ""Сервелат Венгерский"" бессортовая (охлажден",29.10.18,24.11.18,,списали,1,,
Изделие колбасное вареное мясное. Колбаса Минская высшего сорта (охлажденная) тр/уп газ (),24.10.18,23.11.18,,списали,1,,
Изделие колбасное. Сальтисон мясосодержащий «Куриный» вареный охлажденный,12.12.18,11.01.19,,,,,
